drift description,tree size,after accuracy decrease precentage,faulty node index,faulty feature,fix accuracy increase precentage
baseball__NumericFeature[Strikeouts;+1std],13,-0.746268656716409,4,At_bats,0.0
baseball__NumericFeature[Strikeouts;+2std],13,-0.746268656716409,4,At_bats,0.0
baseball__NumericFeature[Batting_average;-2std],13,0.7462686567164201,4,At_bats,0.0
baseball__NumericFeature[Batting_average;-1std],13,0.7462686567164201,4,At_bats,0.0
baseball__NumericFeature[Batting_average;-0.5std],13,0.0,10,,-0.3731343283582045
baseball__NumericFeature[Batting_average;+0.5std],13,0.7462686567164201,10,,0.3731343283582156
baseball__NumericFeature[Batting_average;+1std],13,2.23880597014926,10,,1.1194029850746356
baseball__NumericFeature[Batting_average;+2std],13,2.9850746268656803,2,Batting_average,4.850746268656714
bodyfat__NumericFeature[Density;-2std],3,56.00000000000001,0,Density,38.0
bodyfat__NumericFeature[Density;-1std],3,40.0,1,,0.0
bodyfat__NumericFeature[Density;-0.5std],3,31.999999999999996,1,,0.0
bodyfat__NumericFeature[Density;+0.5std],3,7.9999999999999964,1,,0.0
bodyfat__NumericFeature[Density;+1std],3,28.000000000000004,2,,0.0
bodyfat__NumericFeature[Density;+2std],3,40.0,2,,0.0
breast-cancer-wisc-diag__NumericFeature[f25;-2std],19,-5.35714285714286,6,f12,-0.8849557522123908
breast-cancer-wisc-diag__NumericFeature[f25;-1std],19,-3.57142857142857,6,f12,-0.8849557522123908
breast-cancer-wisc-diag__NumericFeature[f25;-0.5std],19,0.0,8,f26,0.0
breast-cancer-wisc-diag__NumericFeature[f25;+0.5std],19,0.0,8,f26,0.8849557522123908
breast-cancer-wisc-diag__NumericFeature[f25;+1std],19,0.0,8,f26,0.8849557522123908
breast-cancer-wisc-diag__NumericFeature[f25;+2std],19,0.0,8,f26,0.8849557522123908
breast-cancer-wisc-diag__NumericFeature[f23;-2std],19,1.7857142857142905,17,,-16.814159292035402
breast-cancer-wisc-diag__NumericFeature[f23;-1std],19,-3.57142857142857,17,,-4.424778761061942
breast-cancer-wisc-diag__NumericFeature[f23;-0.5std],19,-5.35714285714286,6,f12,-0.8849557522123797
breast-cancer-wisc-diag__NumericFeature[f23;+0.5std],19,12.5,8,f26,0.8849557522123908
breast-cancer-wisc-diag__NumericFeature[f23;+1std],19,16.07142857142857,8,f26,1.7699115044247815
breast-cancer-wisc-diag__NumericFeature[f23;+2std],19,19.64285714285714,16,,-28.318584070796454
breast-cancer-wisc-diag__NumericFeature[f28;-2std],19,17.85714285714286,14,,17.699115044247794
breast-cancer-wisc-diag__NumericFeature[f28;-1std],19,7.14285714285714,14,,10.619469026548678
breast-cancer-wisc-diag__NumericFeature[f28;-0.5std],19,-3.57142857142857,8,f26,0.0
breast-cancer-wisc-diag__NumericFeature[f28;+0.5std],19,5.35714285714286,12,,3.539823008849552
breast-cancer-wisc-diag__NumericFeature[f28;+1std],19,8.92857142857143,12,,6.194690265486724
breast-cancer-wisc-diag__NumericFeature[f28;+2std],19,21.42857142857143,12,,11.504424778761058
breast-cancer-wisc-diag__NumericFeature[f14;-2std],19,0.0,8,f26,0.8849557522123908
breast-cancer-wisc-diag__NumericFeature[f14;-1std],19,0.0,8,f26,0.8849557522123908
breast-cancer-wisc-diag__NumericFeature[f14;-0.5std],19,0.0,8,f26,0.8849557522123908
breast-cancer-wisc-diag__NumericFeature[f14;+0.5std],19,0.0,8,f26,0.8849557522123908
breast-cancer-wisc-diag__NumericFeature[f14;+1std],19,0.0,8,f26,0.8849557522123908
breast-cancer-wisc-diag__NumericFeature[f14;+2std],19,0.0,8,f26,0.8849557522123908
breast-cancer-wisc-diag__NumericFeature[f2;-2std],19,-3.57142857142857,6,f12,-0.8849557522123908
breast-cancer-wisc-diag__NumericFeature[f2;-1std],19,-5.35714285714286,6,f12,-0.8849557522123908
breast-cancer-wisc-diag__NumericFeature[f2;-0.5std],19,-5.35714285714286,6,f12,-0.8849557522123908
breast-cancer-wisc-diag__NumericFeature[f2;+0.5std],19,0.0,8,f26,0.8849557522123908
breast-cancer-wisc-diag__NumericFeature[f2;+1std],19,1.7857142857142905,13,f25,0.0
